,CD_GEOCODM,NM_MUNICIP,uf
0,1100205,PORTO VELHO,11
25,1200203,CRUZEIRO DO SUL,12
28,1200401,RIO BRANCO,12
41,1300060,AMATURÁ,13
43,1300102,ANORI,13
44,1300409,BARCELOS,13
47,1300508,BARREIRINHA,13
48,1300607,BENJAMIN CONSTANT,13
50,1300706,BOCA DO ACRE,13
54,1301001,CARAUARI,13
56,1301209,COARI,13
60,1301308,CODAJÁS,13
61,1301407,EIRUNEPÉ,13
65,1301506,ENVIRA,13
66,1301654,GUAJARÁ,13
67,1301803,IPIXUNA,13
68,1301852,IRANDUBA,13
78,1301902,ITACOATIARA,13
79,1302405,LÁBREA,13
83,1302504,MANACAPURU,13
87,1302603,MANAUS,13
137,1303205,NOVO AIRÃO,13
138,1303403,PARINTINS,13
145,1303700,SANTO ANTÔNIO DO IÇÁ,13
151,1304062,TABATINGA,13
153,1304203,TEFÉ,13
160,1304237,TONANTINS,13
162,1400100,BOA VISTA,14
165,1500305,AFUÁ,15
166,1500503,ALMEIRIM,15
167,1500602,ALTAMIRA,15
170,1500800,ANANINDEUA,15
232,1501303,BARCARENA,15
234,1501402,BELÉM,15
335,1501501,BENEVIDES,15
337,1502103,CAMETÁ,15
340,1504208,MARABÁ,15
349,2111300,SÃO LUÍS,21
375,2112209,TIMON,21
379,2927408,SALVADOR,29
407,3516408,FRANCO DA ROCHA,35
421,3518701,GUARUJÁ,35
434,3550308,SÃO PAULO,35
462,5300108,BRASÍLIA,53
478,1504422,MARITUBA,15
500,1505536,PARAUAPEBAS,15
508,1506807,SANTARÉM,15
526,1508100,TUCURUÍ,15
540,1600105,AMAPÁ,16
541,1600212,CUTIAS,16
542,1600279,LARANJAL DO JARI,16
548,1600303,MACAPÁ,16
572,1600600,SANTANA,16
583,1600808,VITÓRIA DO JARI,16
588,1702109,ARAGUAÍNA,17
594,2107506,PAÇO DO LUMIAR,21
601,2109452,RAPOSA,21
607,2111201,SÃO JOSÉ DE RIBAMAR,21
651,2211001,TERESINA,22
764,2301000,AQUIRAZ,23
765,2302602,CAMOCIM,23
766,2303709,CAUCAIA,23
780,2304400,FORTALEZA,23
795,2800308,ARACAJU,28
807,2800605,BARRA DOS COQUEIROS,28
808,2804805,NOSSA SENHORA DO SOCORRO,28
845,2929206,SÃO FRANCISCO DO CONDE,29
847,3106200,BELO HORIZONTE,31
901,3203205,LINHARES,32
915,3204906,SÃO MATEUS,32
930,3304557,RIO DE JANEIRO,33
1164,2304707,GRANJA,23
1165,2304954,GUAIÚBA,23
1169,2306256,ITAITINGA,23
1170,2307304,JUAZEIRO DO NORTE,23
1171,2307650,MARACANAÚ,23
1174,2307700,MARANGUAPE,23
1176,2309706,PACATUBA,23
1177,2310704,PENTECOSTE,23
1178,2311306,QUIXADÁ,23
1179,2312700,SENADOR POMPEU,23
1180,2408003,MOSSORÓ,24
1185,2408102,NATAL,24
1226,2501807,BAYEUX,25
1234,2503209,CABEDELO,25
1238,2504009,CAMPINA GRANDE,25
1256,2507507,JOÃO PESSOA,25
1315,2513703,SANTA RITA,25
1316,2600054,ABREU E LIMA,26
1323,2601052,ARAÇOIABA,26
1324,2602902,CABO DE SANTO AGOSTINHO,26
1347,2603454,CAMARAGIBE,26
1358,2604106,CARUARU,26
1376,2605202,ESCADA,26
1382,2606804,IGARASSU,26
1386,2607208,IPOJUCA,26
1387,2607604,ILHA DE ITAMARACÁ,26
1390,2607752,ITAPISSUMA,26
1392,2607901,JABOATÃO DOS GUARARAPES,26
1456,2609402,MORENO,26
1464,2609600,OLINDA,26
1521,2610707,PAULISTA,26
1547,2611606,RECIFE,26
1656,2613701,SÃO LOURENÇO DA MATA,26
1662,2615409,TORITAMA,26
1663,2700300,ARAPIRACA,27
1664,2700508,BARRA DE SANTO ANTÔNIO,27
1666,2703601,JAPARATINGA,27
1667,2704302,MACEIÓ,27
1762,2704500,MARAGOGI,27
1763,2704708,MARECHAL DEODORO,27
1766,2705507,MURICI,27
1767,2705606,NOVO LINO,27
1768,2706448,PARIPUEIRA,27
1769,2707701,RIO LARGO,27
1773,2708501,SÃO LUÍS DO QUITUNDE,27
1776,2708907,SATUBA,27
1796,2806701,SÃO CRISTÓVÃO,28
1799,2905701,CAMAÇARI,29
1809,2906501,CANDEIAS,29
1813,2913606,ILHÉUS,29
