,location,startDate,entityId,displayId,cloudCover,spatialBounds,spatialCoverage
3499,3106200,2010-08-01 00:00:00,LT52180742010213CUB00,LT05_L2SP_218074_20100801_20200824_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-45.34148, -21.149], [-45.34148, -19.30665], [-43.22228, -19.30665], [-43.22228, -21.149], [-45.34148, -21.149]]]}","{'type': 'Polygon', 'coordinates': [[[-45.34148, -20.8933], [-43.58289, -21.149], [-43.22228, -19.55984], [-44.96363, -19.30665], [-45.34148, -20.8933]]]}"
3670,3118601,2010-08-01 00:00:00,LT52180742010213CUB00,LT05_L2SP_218074_20100801_20200824_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-45.34148, -21.149], [-45.34148, -19.30665], [-43.22228, -19.30665], [-43.22228, -21.149], [-45.34148, -21.149]]]}","{'type': 'Polygon', 'coordinates': [[[-45.34148, -20.8933], [-43.58289, -21.149], [-43.22228, -19.55984], [-44.96363, -19.30665], [-45.34148, -20.8933]]]}"
4305,3171204,2010-08-01 00:00:00,LT52180742010213CUB00,LT05_L2SP_218074_20100801_20200824_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-45.34148, -21.149], [-45.34148, -19.30665], [-43.22228, -19.30665], [-43.22228, -21.149], [-45.34148, -21.149]]]}","{'type': 'Polygon', 'coordinates': [[[-45.34148, -20.8933], [-43.58289, -21.149], [-43.22228, -19.55984], [-44.96363, -19.30665], [-45.34148, -20.8933]]]}"
4812,3300704,2010-09-04 00:00:00,LT52160762010247CUB00,LT05_L2SP_216076_20100904_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-42.96881, -24.03136], [-42.96881, -22.18522], [-40.80483, -22.18522], [-40.80483, -24.03136], [-42.96881, -24.03136]]]}","{'type': 'Polygon', 'coordinates': [[[-42.96881, -23.77045], [-41.1744, -24.03136], [-40.80483, -22.44317], [-42.5789, -22.18522], [-42.96881, -23.77045]]]}"
5715,3510609,2010-08-24 00:00:00,LT52190762010236CUB00,LT05_L2SP_219076_20100824_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-47.59278, -24.03146], [-47.59278, -22.18532], [-45.4288, -22.18532], [-45.4288, -24.03146], [-47.59278, -24.03146]]]}","{'type': 'Polygon', 'coordinates': [[[-47.59278, -23.77055], [-45.79837, -24.03146], [-45.4288, -22.44327], [-47.20287, -22.18532], [-47.59278, -23.77055]]]}"
5843,3513801,2010-08-24 00:00:00,LT52190762010236CUB00,LT05_L2SP_219076_20100824_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-47.59278, -24.03146], [-47.59278, -22.18532], [-45.4288, -22.18532], [-45.4288, -24.03146], [-47.59278, -24.03146]]]}","{'type': 'Polygon', 'coordinates': [[[-47.59278, -23.77055], [-45.79837, -24.03146], [-45.4288, -22.44327], [-47.20287, -22.18532], [-47.59278, -23.77055]]]}"
5960,3518800,2010-08-24 00:00:00,LT52190762010236CUB00,LT05_L2SP_219076_20100824_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-47.59278, -24.03146], [-47.59278, -22.18532], [-45.4288, -22.18532], [-45.4288, -24.03146], [-47.59278, -24.03146]]]}","{'type': 'Polygon', 'coordinates': [[[-47.59278, -23.77055], [-45.79837, -24.03146], [-45.4288, -22.44327], [-47.20287, -22.18532], [-47.59278, -23.77055]]]}"
6090,3523107,2010-08-24 00:00:00,LT52190762010236CUB00,LT05_L2SP_219076_20100824_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-47.59278, -24.03146], [-47.59278, -22.18532], [-45.4288, -22.18532], [-45.4288, -24.03146], [-47.59278, -24.03146]]]}","{'type': 'Polygon', 'coordinates': [[[-47.59278, -23.77055], [-45.79837, -24.03146], [-45.4288, -22.44327], [-47.20287, -22.18532], [-47.59278, -23.77055]]]}"
6320,3529401,2010-08-24 00:00:00,LT52190762010236CUB00,LT05_L2SP_219076_20100824_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-47.59278, -24.03146], [-47.59278, -22.18532], [-45.4288, -22.18532], [-45.4288, -24.03146], [-47.59278, -24.03146]]]}","{'type': 'Polygon', 'coordinates': [[[-47.59278, -23.77055], [-45.79837, -24.03146], [-45.4288, -22.44327], [-47.20287, -22.18532], [-47.59278, -23.77055]]]}"
6337,3534401,2010-08-24 00:00:00,LT52190762010236CUB00,LT05_L2SP_219076_20100824_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-47.59278, -24.03146], [-47.59278, -22.18532], [-45.4288, -22.18532], [-45.4288, -24.03146], [-47.59278, -24.03146]]]}","{'type': 'Polygon', 'coordinates': [[[-47.59278, -23.77055], [-45.79837, -24.03146], [-45.4288, -22.44327], [-47.20287, -22.18532], [-47.59278, -23.77055]]]}"
