location,xsize,ysize,pixels_slum,proportion_slums,NM_MUNICIP,CD_UF,SG_UF,Name_UF,startDate,entityId,displayId,cloudCover,spatialBounds,spatialCoverage,RME_DS,RME_CD,RME_NM,metropolitan,left_half_slums,left_half_slum_discounting_border,right_half_slums,right_half_slum_discounting_border,proportion_slums_left,proportion_slums_right
3106200,903,649,23174,0.0395429035555168,BELO HORIZONTE,31,MG,Minas Gerais,2010-08-01 00:00:00,LT52180742010213CUB00,LT05_L2SP_218074_20100801_20200824_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-45.34148, -21.149], [-45.34148, -19.30665], [-43.22228, -19.30665], [-43.22228, -21.149], [-45.34148, -21.149]]]}","{'type': 'Polygon', 'coordinates': [[[-45.34148, -20.8933], [-43.58289, -21.149], [-43.22228, -19.55984], [-44.96363, -19.30665], [-45.34148, -20.8933]]]}",Belo Horizonte,8.0,Belo Horizonte,1.0,13642,10339,9532,7685,0.0466278386175027,0.03247976829372178
3118601,608,518,12771,0.0405500660434871,CONTAGEM,31,MG,Minas Gerais,2010-08-01 00:00:00,LT52180742010213CUB00,LT05_L2SP_218074_20100801_20200824_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-45.34148, -21.149], [-45.34148, -19.30665], [-43.22228, -19.30665], [-43.22228, -21.149], [-45.34148, -21.149]]]}","{'type': 'Polygon', 'coordinates': [[[-45.34148, -20.8933], [-43.58289, -21.149], [-43.22228, -19.55984], [-44.96363, -19.30665], [-45.34148, -20.8933]]]}",Contagem,8.0,Belo Horizonte,1.0,5581,3786,7190,5853,0.03544122129648446,0.04565891079048974
3171204,337,199,7558,0.1126999985088648,VESPASIANO,31,MG,Minas Gerais,2010-08-01 00:00:00,LT52180742010213CUB00,LT05_L2SP_218074_20100801_20200824_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-45.34148, -21.149], [-45.34148, -19.30665], [-43.22228, -19.30665], [-43.22228, -21.149], [-45.34148, -21.149]]]}","{'type': 'Polygon', 'coordinates': [[[-45.34148, -20.8933], [-43.58289, -21.149], [-43.22228, -19.55984], [-44.96363, -19.30665], [-45.34148, -20.8933]]]}",Vespasiano,8.0,Belo Horizonte,1.0,4160,1617,3398,855,0.1246890267661781,0.10083086053412463
3300704,1231,218,17349,0.0646487155218029,CABO FRIO,33,RJ,Rio de Janeiro,2010-09-04 00:00:00,LT52160762010247CUB00,LT05_L2SP_216076_20100904_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-42.96881, -24.03136], [-42.96881, -22.18522], [-40.80483, -22.18522], [-40.80483, -24.03136], [-42.96881, -24.03136]]]}","{'type': 'Polygon', 'coordinates': [[[-42.96881, -23.77045], [-41.1744, -24.03136], [-40.80483, -22.44317], [-42.5789, -22.18522], [-42.96881, -23.77045]]]}",,,,0.0,6374,1278,10975,3709,0.04750370773369902,0.08179372330990692
3510609,237,159,1098,0.0291378074994029,CARAPICUÍBA,35,SP,São Paulo,2010-08-24 00:00:00,LT52190762010236CUB00,LT05_L2SP_219076_20100824_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-47.59278, -24.03146], [-47.59278, -22.18532], [-45.4288, -22.18532], [-45.4288, -24.03146], [-47.59278, -24.03146]]]}","{'type': 'Polygon', 'coordinates': [[[-47.59278, -23.77055], [-45.79837, -24.03146], [-45.4288, -22.44327], [-47.20287, -22.18532], [-47.59278, -23.77055]]]}",Carapicuíba,36.0,São Paulo,1.0,644,223,454,22,0.03439619719062116,0.023945147679324895
3513801,301,202,3558,0.0585178119140817,DIADEMA,35,SP,São Paulo,2010-08-24 00:00:00,LT52190762010236CUB00,LT05_L2SP_219076_20100824_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-47.59278, -24.03146], [-47.59278, -22.18532], [-45.4288, -22.18532], [-45.4288, -24.03146], [-47.59278, -24.03146]]]}","{'type': 'Polygon', 'coordinates': [[[-47.59278, -23.77055], [-45.79837, -24.03146], [-45.4288, -22.44327], [-47.20287, -22.18532], [-47.59278, -23.77055]]]}",Diadema,36.0,São Paulo,1.0,2093,372,1465,535,0.0688464195256735,0.048189204302490046
3518800,545,669,17323,0.0475116907338078,GUARULHOS,35,SP,São Paulo,2010-08-24 00:00:00,LT52190762010236CUB00,LT05_L2SP_219076_20100824_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-47.59278, -24.03146], [-47.59278, -22.18532], [-45.4288, -22.18532], [-45.4288, -24.03146], [-47.59278, -24.03146]]]}","{'type': 'Polygon', 'coordinates': [[[-47.59278, -23.77055], [-45.79837, -24.03146], [-45.4288, -22.44327], [-47.20287, -22.18532], [-47.59278, -23.77055]]]}",Guarulhos,36.0,São Paulo,1.0,6709,5229,10614,8576,0.036856562105147504,0.058135013008352734
3523107,314,258,4778,0.0589789167036982,ITAQUAQUECETUBA,35,SP,São Paulo,2010-08-24 00:00:00,LT52190762010236CUB00,LT05_L2SP_219076_20100824_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-47.59278, -24.03146], [-47.59278, -22.18532], [-45.4288, -22.18532], [-45.4288, -24.03146], [-47.59278, -24.03146]]]}","{'type': 'Polygon', 'coordinates': [[[-47.59278, -23.77055], [-45.79837, -24.03146], [-45.4288, -22.44327], [-47.20287, -22.18532], [-47.59278, -23.77055]]]}",Itaquaquecetuba,36.0,São Paulo,1.0,2720,896,2058,1339,0.06715054559818298,0.05080728780921345
3529401,263,255,5243,0.0781778871244315,MAUÁ,35,SP,São Paulo,2010-08-24 00:00:00,LT52190762010236CUB00,LT05_L2SP_219076_20100824_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-47.59278, -24.03146], [-47.59278, -22.18532], [-45.4288, -22.18532], [-45.4288, -24.03146], [-47.59278, -24.03146]]]}","{'type': 'Polygon', 'coordinates': [[[-47.59278, -23.77055], [-45.79837, -24.03146], [-45.4288, -22.44327], [-47.20287, -22.18532], [-47.59278, -23.77055]]]}",Mauá,36.0,São Paulo,1.0,1926,1142,3317,1286,0.05766294422322685,0.09853255703422054
3534401,379,207,3661,0.0466648821587447,OSASCO,35,SP,São Paulo,2010-08-24 00:00:00,LT52190762010236CUB00,LT05_L2SP_219076_20100824_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-47.59278, -24.03146], [-47.59278, -22.18532], [-45.4288, -22.18532], [-45.4288, -24.03146], [-47.59278, -24.03146]]]}","{'type': 'Polygon', 'coordinates': [[[-47.59278, -23.77055], [-45.79837, -24.03146], [-45.4288, -22.44327], [-47.20287, -22.18532], [-47.59278, -23.77055]]]}",Osasco,36.0,São Paulo,1.0,2074,879,1587,476,0.05312908266516382,0.040262837426425814
